"ability_id","ability_name","ability_abbreviation","description_short","description_full","ability_type","ability_subtype","archetype_tags","warrior_unlock","arms_unlock","fury_unlock","protection_unlock","unlock_source","subclass_filter","requires_ability","unlocks_ability","replaces_ability","modified_by","wow_cost_rage","bg3_action_cost","bg3_resource_cost","bg3_cooldown","bg3_file_type","bg3_spell_type","bg3_spell_success","bg3_target_conditions","damage_formula_bg3","status_applied","implementation_status","implementation_priority","implementation_notes"
"WAR__Avatar_","Avatar","Ava","one of the main personal cooldowns that should always be taken.","one of the main personal cooldowns that should always be taken.","Offensive","","Cooldown,Burst,Offensive","","9","9","9","Baseline","All","","","","","","Action","","3 minutes (OncePerCombat)","Spell_Shout","Shout","ApplyStatus(SELF,WAR_AVATAR,100,10)","","None","","Not Started","","Wowhead: https://www.wowhead.com/spell=107574"
"WAR__Champion_s_Spear_","Champion's Spear","Spear","aligns well with other 90s cooldowns, though not generally as useful as Thunderous Roar.","aligns well with other 90s cooldowns, though not generally as useful as Thunderous Roar.","Offensive","","Offensive,Major-Cooldown,AoE,90s-Cooldown","","9","9","9","Baseline","All","","","","","","Action","","90 seconds","Spell_Projectile","Projectile","DealDamage(4d10+StrengthModifier,Physical);ApplyStatus(WAR_CHAMPION_SPEAR_BUFF,100,6)","","","","Not Started","","Aligns with other 90s cooldowns. Not as useful as Thunderous Roar generally."
"WAR__Battlelord_","Battlelord","","creates an entertaining gameplay loop of Mortal Strike refreshing Overpower via Tactician and Ove...","creates an entertaining gameplay loop of Mortal Strike refreshing Overpower via Tactician and Overpower refreshing Mortal Strike via Battlelord.","Passive","","Arms,Overpower-Build,Reset-Mechanic","","","","","Baseline","All","Overpower,Mortal Strike","","","","","Action","","","Passive","Target","","","","","Not Started","","Entertaining gameplay loop - Mortal Strike refreshes Overpower via Tactician procs."
"WAR__Bloodletting_","Bloodletting","","a very important bleed damage increase, which reduces the amount of maintenance required to maint...","a very important bleed damage increase, which reduces the amount of maintenance required to maintain the debuffs and synergizes very well with Skullsplitter and Thunderous Roar/Words.","Passive","","Passive,DoT,Bleed","","","","","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Applies damage over time effect"
"WAR__Bladestorm_","Bladestorm","BS","Arms major multitarget cooldown, with several very powerful follow-on talents.","Arms major multitarget cooldown, with several very powerful follow-on talents.","Offensive","","Arms,AoE,Cooldown,Immunity","","9","9","","Baseline","All","","","","","","Action","","90 seconds (OncePerCombat)","Spell_Zone","Zone","DealDamage(1d6+StrengthModifier,Slashing);ApplyStatus(SELF,WAR_BLADESTORMING,100,4)","","8*(1d6+StrengthModifier),Slashing","","Not Started","","Wowhead: https://www.wowhead.com/spell=227847"
"WAR__Ravager_","Ravager","Rav","a passive alternative to Bladestorm, more suited for use against individual targets.","a passive alternative to Bladestorm, more suited for use against individual targets.","Offensive","","Arms,Major-Cooldown,AoE,Alternative","","9","9","","Baseline","All","","","","","","None","","90 seconds","Spell_Zone","Zone","SummonObject(WAR_RAVAGER,10,6)","","","","Not Started","","Passive alternative to Bladestorm. More suited for single targets or Colossus builds."
"WAR__Sharpened_Blades_","Sharpened Blades","","a moderate damage increase for Arms' most important rotational abilities.","a moderate damage increase for Arms' most important rotational abilities.","Passive","","Arms,Damage-Boost,Core-Abilities","","","","","Baseline","All","","","","Mortal Strike,Execute","","None","","","Passive","N/A","","","","","Not Started","","Moderate damage increase for Arms' most important rotational abilities."
"WAR__Juggernaut_","Juggernaut","","provides a large ramping damage increase, though not well suited for short encounters and suscept...","provides a large ramping damage increase, though not well suited for short encounters and susceptible to dropping during downtime.","Passive","","Arms,Execute-Build,Stacking-Buff","","","","","Baseline","All","Execute","","","","","None","","","Passive","N/A","","","","","Not Started","","Large ramping damage increase. Not suited for short encounters."
"WAR__Onslaught_","Onslaught","Ons","a moderately strong standalone attack, which helps fill extra GCDs in the rotation.","a moderately strong standalone attack, which helps fill extra GCDs in the rotation.","Offensive","","Fury,Offensive","","","9","","Baseline","All","","","","","30","Action","","","Spell_Target","Target","DealDamage(2d8+StrengthModifier,Physical)","","2d8+StrengthModifier,Physical","","Not Started","","Wowhead: https://www.wowhead.com/spell=315720"
"WAR__Reckless_Abandon_","Reckless Abandon","RA","causes Bloodthirst and Raging Blow to be replaced by stronger versions - Bloodbath and Crushing B...","causes Bloodthirst and Raging Blow to be replaced by stronger versions - Bloodbath and Crushing Blow, creating a powerful gameplay loop.","Passive","","Fury,Recklessness-Build,Ability-Replacement","","","9","","Baseline","All","Recklessness","","","","","Action","","","Passive","Target","","","","","Not Started","","Bloodthirst and Raging Blow replaced by stronger versions (Bloodbath/Crushing Blow) during Recklessness."
"WAR__Odyn_s_Fury_","Odyn's Fury","OF","a very powerful burst damage attack with a short lingering bleed.","a very powerful burst damage attack with a short lingering bleed.","Offensive","","Fury,AoE,Burst,Cooldown","","","9","","Baseline","All","","","","","","Action","","45 seconds (OncePerShortRest)","Spell_Zone","Zone","DealDamage(3d10+StrengthModifier,Physical);ApplyStatus(WAR_ODYNS_BLEED,100,3)","","3d10+StrengthModifier,Physical","","Not Started","","Wowhead: https://www.wowhead.com/spell=385059"
"WAR__Booming_Voice_","Booming Voice","BV","Turns Demoralizing Shout into a good offensive cooldown and Rage generation tool. Grants 30 rage ...","Turns Demoralizing Shout into a good offensive cooldown and Rage generation tool. Grants 30 rage and synergizes very nicely with","Passive","","Passive,Rage-Generation","","","","9","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Increases Rage generation under specific conditions"
"WAR__Indomitable_","Indomitable","Indom","Extremely valuable defensive talent. Substantially increases tankiness and grants a steady trickl...","Extremely valuable defensive talent. Substantially increases tankiness and grants a steady trickle of self-healing. Mandatory if you want to call yourself a tank.","Passive","","Defensive,Tankiness,Critical","","","","9","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Extremely valuable defensive talent. Substantially increases tankiness and grants ignore pain charges."
"WAR__Violent_Outburst_","Violent Outburst","Outburst or VO","Excellent Rage generation increase, one of the vital pillarstones to the ""Rage Feedback Machine"" ...","Excellent Rage generation increase, one of the vital pillarstones to the ""Rage Feedback Machine"" to deal huge amounts of damage and be an absolute brick house of a tank.","Passive","","Passive,Rage-Generation","","","","9","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Increases Rage generation under specific conditions"
"WAR_Heavy_Handed","Heavy Handed","","Allows  Execute to strike 2 additional targets for a reduced amount. Great for raiding and overal...","Allows  Execute to strike 2 additional targets for a reduced amount. Great for raiding and overall damage output!","Passive","","Arms,Execute-Build,AoE","","","","","Baseline","All","","","","Execute","","Action","","","Passive","Target","","","","","Not Started","","Execute strikes 2 additional targets for reduced damage. Great for refreshing Sudden Death."
"WAR__Uproar_","Uproar","","keeps Thunderous Roar aligned with Avatar and other cooldowns, provides a noticeable overall dama...","keeps Thunderous Roar aligned with Avatar and other cooldowns, provides a noticeable overall damage increase, especially in multitarget.","Passive","","Fury,Cooldown-Reduction,Alignment","","","","","Baseline","All","Thunderous Roar","","","","","None","","","Passive","N/A","","","","","Not Started","","Keeps Thunderous Roar aligned with Avatar and other cooldowns. Noticeable damage increase."
"WAR__Thunderous_Words_","Thunderous Words","","increases the damage of all bleeds only while Thunderous Roar is active, creating powerful burst ...","increases the damage of all bleeds only while Thunderous Roar is active, creating powerful burst windows that synergize well with Odyn's Fury.","Passive","","Passive,DoT,Bleed","","","","","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Applies damage over time effect"
"WAR__Berserker_s_Torment_","Berserker's Torment","","highly effective and extends the duration of their normal counterparts.","highly effective and extends the duration of their normal counterparts.","Passive","","Fury,Recklessness-Build,Duration-Extension","","","","","Baseline","All","Reckless Abandon","","","","","Action","","","Passive","Target","","","","","Not Started","","Highly effective. Extends duration of Bloodbath/Crushing Blow beyond normal counterparts."
"WAR__Titan_s_Torment_","Titan's Torment","","very strong AoE damage increase, which synergizes with other additional effects from Odyn's Fury.","very strong AoE damage increase, which synergizes with other additional effects from Odyn's Fury.","Passive","","Fury,Avatar-Build,AoE-Damage","","","","","Baseline","All","Avatar","","","","","None","","","Passive","N/A","","","","","Not Started","","Very strong AoE damage increase. Synergizes with other Avatar effects on Odyn's Fury."
"WAR__Piercing_Challenge_","Piercing Challenge","","a minor overall damage increase, though the extra rage generation is largely irrelevant.","a minor overall damage increase, though the extra rage generation is largely irrelevant.","Passive","","Passive,Rage-Generation","","","","","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Increases Rage generation under specific conditions"
"WAR__Champion_s_Might_","Champion's Might","","a short but powerful damage window, which now activates on the target instead of requiring the pl...","a short but powerful damage window, which now activates on the target instead of requiring the player to stand within a specific location.","Passive","","Offensive,Champion-Spear-Enhancement,Damage-Window","","","","","Baseline","All","Champion's Spear","","","","","Action","","","Passive","Target","","","","","Not Started","","Short but powerful damage window. Activates on target instead of self now."
"WAR__Fatality_","Fatality","","provides increased damage during Execute, while keeping the abilities used before Execute relevan...","provides increased damage during Execute, while keeping the abilities used before Execute relevant. It cannot critically strike and does not benefit from class buffs such as Colossus Smash or Avatar, but it can be buffed by primary stat increases like Test of Might or potions.","Passive","","Fury,Execute-Build,Damage-Boost","","","","","Baseline","All","Execute","","","","","None","","","Passive","N/A","","","","","Not Started","","Increased damage during Execute phase. Keeps pre-execute abilities relevant."
"WAR__Dance_of_Death_","Dance of Death","","provides a significant damage increase for Bladestorm and can be chained from pack to pack, but t...","provides a significant damage increase for Bladestorm and can be chained from pack to pack, but the timing does not work cleanly with all of Bladestorm's other follow-on talents.","Passive","","Arms,AoE,Cooldown-Enhancement","","","","","Baseline","All","Bladestorm","","","","","None","","","Passive","N/A","","","","","Not Started","","Major Bladestorm enhancement"
"WAR__Unhinged_","Unhinged","","a significant single/two target damage increase while using Bladestorm or Ravager, highly effecti...","a significant single/two target damage increase while using Bladestorm or Ravager, highly effective in combination with other effects that synergize with Mortal Strike.","Passive","","Arms,Bladestorm-Enhancement,Damage-Boost","","","","","Baseline","All","Bladestorm,Ravager","","","","","None","","","Passive","N/A","","","","","Not Started","","Significant single/two target damage increase while using Bladestorm or Ravager."
"WAR__Merciless_Bonegrinder_","Merciless Bonegrinder","","a major damage increase for Cleave or Whirlwind, creating strong AoE damage windows.","a major damage increase for Cleave or Whirlwind, creating strong AoE damage windows.","Passive","","Protection,AoE,Damage-Boost","","","","","Baseline","All","Ravager","","","","","None","","","Passive","N/A","","","","","Not Started","","Enhances Ravager AoE"
"WAR__Executioner_s_Precision_","Executioner's Precision","EP","provides great value to Mortal Strike, keeping the ability relevant during Execute.","provides great value to Mortal Strike, keeping the ability relevant during Execute.","Passive","","Arms,Execute-Build,Mortal-Strike-Enhancement","","10","","","Baseline","All","","","","Mortal Strike","","Action","","","Passive","Target","","","","","Not Started","","Great value to Mortal Strike, keeps it relevant during Execute phase."
"WAR__Tenderize_","Tenderize","","greatly increases the value of Onslaught, both in jumpstarting the rotation and increasing the da...","greatly increases the value of Onslaught, both in jumpstarting the rotation and increasing the damage of Rampage.","Passive","","Passive,Enhancement,Major-Boost","","","","","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Major enhancement passive - research specific mechanics needed"
"WAR__Storm_of_Steel_","Storm of Steel","","gives Ravager a second charge, which is fairly important in most content.","gives Ravager a second charge, which is fairly important in most content.","Utility","","Arms,Ravager-Enhancement,Extra-Charge","","","","","Baseline","All","Ravager","","","","","Action","","","Passive","Target","","","","","Not Started","","Gives Ravager second charge. Fairly important in most content."
"WAR__Unbridled_Ferocity_","Unbridled Ferocity","","randomly triggers Recklessness, though its low proc chance leaves it generally uncompetitive.","randomly triggers Recklessness, though its low proc chance leaves it generally uncompetitive.","Passive","","Fury,Recklessness-Build,Proc","","","","","Baseline","All","Recklessness","","","","","Action","","","Passive","Target","","","","","Not Started","","Randomly triggers Recklessness. Low proc chance leaves it generally underwhelming."
"WAR__Depths_of_Insanity_","Depths of Insanity","","generally uncompetitive, due to its small impact on overall uptime.","generally uncompetitive, due to its small impact on overall uptime.","Passive","","Fury,Enrage,Duration-Extension","","","","","Baseline","All","","","","","","Action","","","Passive","Target","","","","","Not Started","","Generally uncompetitive due to small impact on overall uptime. Extends Enrage duration."
"WAR__Dancing_Blades_","Dancing Blades","","triggers a large auto-attack buff, which provides a bonus to Odyn's Fury's single target value.","triggers a large auto-attack buff, which provides a bonus to Odyn's Fury's single target value.","Passive","","Fury,Odyn-Build,Auto-Attack-Buff","","","","","Baseline","All","Odyn's Fury","","","","","Action","","","Passive","Target","","","","","Not Started","","Triggers large auto-attack buff. Provides bonus to Odyn's Fury single-target damage."
"WAR__Titanic_Rage_","Titanic Rage","","a minor damage buff, but jumpstarts the AoE rotation by auto-applying important buffs, with even ...","a minor damage buff, but jumpstarts the AoE rotation by auto-applying important buffs, with even greater synergy in combination with Titan's","Passive","","Fury,Avatar-Build,AoE-Rotation","","","","","Baseline","All","Avatar","","","","","Action","","","Passive","Target","","","","","Not Started","","Minor damage buff. Jumpstarts AoE rotation by auto-applying important statuses."
"WAR__Shield_Charge_","Shield Charge","SC","Decent offensive cooldown and Rage generation tool. It is not great on its own, but it is good wi...","Decent offensive cooldown and Rage generation tool. It is not great on its own, but it is good with the talent synergy below. Grants 20 rage. It deals slightly more single-target damage than Ravager, but less AoE damage.","Passive","","Passive,Rage-Generation","","","","10","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Increases Rage generation under specific conditions"
"WAR__Battle_Scarred_Veteran_","Battle-Scarred Veteran","BSV","Reactive defensive cooldown that provides a ton of damage reduction and increased healing taken. ...","Reactive defensive cooldown that provides a ton of damage reduction and increased healing taken. The 3-minute cooldown is long. After FINALLY being fixed in 10.2.7, this Talent is properly useful for new players and may have niche applications in high keys as a planned defensive. Great tool to recover from a mistake or generally when in trouble.","Passive","","Passive,Healing,Lifesteal","","","","10","Baseline","All","","","","","","None","","","Passive","N/A","","","","","Not Started","","Lifesteal passive - heal based on damage dealt"
"WAR_Whirling_Blade","Whirling Blade","","This talent randomly sends out more frequent and shorter versions of  Ravager.","This talent randomly sends out more frequent and shorter versions of  Ravager.","Passive","","Protection,Ravager-Enhancement,Proc","","","","","Baseline","All","Ravager","","","","","Action","","","Passive","Target","","","","","Not Started","","Randomly sends out more frequent and shorter versions of Ravager."
"WAR_Lightning_Strikes","Lightning Strikes","","","","Passive","","Mountain-Thane,Hero-Talent,Lightning-Proc","","","","","Hero Talent","Protection,Fury","","","","","","None","","","Passive","N/A","","","","","Not Started","","Mountain Thane passive - Lightning strikes proc on abilities."
"WAR_Demolish","Demolish","","","","Offensive","","Colossus,Hero-Talent,Major-Cooldown,Stun","","","","","Hero Talent","Arms,Protection","","","","","25","None","","45 seconds","Spell_Target","Target","DealDamage(5d12+StrengthModifier,Physical);ApplyStatus(STUNNED,100,2)","","","","Not Started","","Colossus active ability - Massive damage with stun."
"WAR_Slayer_s_Dominance","Slayers Dominance","","","","Passive","","Slayer,Hero-Talent,Keystone","","","","","Hero Talent","Arms,Fury","","","","","","None","","","Passive","N/A","","","","","Not Started","","Slayer keystone passive - Grants core Slayer mechanics."
"WAR_Crashing_Thunder","Crashing Thunder","","","","Passive","","Mountain-Thane,Hero-Talent,Thunder-Clap-Enhancement","","","","","Hero Talent","Protection,Fury","Thunder Clap","","","","","None","","","Passive","N/A","","","","","Not Started","","Enhances Thunder Clap with additional effects."
"WAR_Ground_Current","Ground Current","","","","Passive","","Mountain-Thane,Hero-Talent,Lightning","","","","","Baseline","All","","","","","","Action","","","Passive","Target","","","","","Not Started","","Mountain Thane passive - NEEDS WOWHEAD RESEARCH for specific mechanics."
"WAR_Strength_of_the_Mountain","Strength of the Mountain","","","","Passive","","Mountain-Thane,Hero-Talent,Stat-Boost","","","","","Baseline","All","","","","","","Action","","","Passive","Target","","","","","Not Started","","Mountain Thane passive - Likely strength boost or damage increase."
"WAR_Martial_Expert","Martial Expert","","","","Passive","","Colossus,Hero-Talent,Mastery-Boost","","","","","Hero Talent","Arms,Protection","","","","","","None","","","Passive","N/A","","","","","Not Started","","Colossus passive - Likely mastery or expertise increase."
"WAR_Colossal_Might","Colossal Might","","","","Passive","","Colossus,Hero-Talent,Demolish-Enhancement","","","","","Baseline","All","","","","","","Action","","","Passive","Target","","","","","Not Started","","Colossus passive - Likely enhances Demolish ability damage or effects."
"WAR_Earthquake","Earthquake","","","","Offensive","","Mountain-Thane,Hero-Talent,AoE,Ground-Effect","","","","","Baseline","All","","","","","","Action","","","Spell_Zone","Zone","","","","","Not Started","","Mountain Thane active ability - Ground-targeted AoE earthquake effect."
"WAR_Imminent_Demise","Imminent Demise","","","","Passive","","Slayer,Hero-Talent,Execute-Build","","","","","Hero Talent","Arms,Fury","Execute","","","","","None","","","Passive","N/A","","","","","Not Started","","Slayer passive - Execute-focused enhancement."
"WAR_Thunder_Blast","Thunder Blast","","","","Offensive","","Mountain-Thane,Hero-Talent,Lightning,AoE","","","","","Hero Talent","Protection,Fury","","","","","","None","","","Spell_Zone","Zone","","","","","Not Started","","Mountain Thane active ability - Lightning blast AoE."
"WAR_Storm_Bolts","Storm Bolts","","","","Offensive","","Mountain-Thane,Hero-Talent,Lightning,Projectile","","","","","Baseline","All","","","","","","Action","","","Spell_Projectile","Projectile","","","","","Not Started","","Mountain Thane ability - Lightning bolt projectile attacks."
"WAR_Keep_your_feet_on_the_Ground","Keep your feet on the Ground","","","","Passive","","Mountain-Thane,Hero-Talent,CC","","","","","Baseline","All","","","","","","Action","","","Passive","Target","","","","","Not Started","","Mountain Thane passive - Likely knockdown or root mechanic."
"WAR_Arterial_Bleed","Arterial Bleed","","","","Passive","","Slayer,Hero-Talent,Bleed,DoT","","","","","Hero Talent","Arms,Protection","","","","","","None","","","Passive","N/A","","","","","Not Started","","Slayer passive - Applies or enhances bleed effects."
"WAR_Tide_of_Battle","Tide of Battle","","","","Passive","","Mountain-Thane,Hero-Talent","","","","","Baseline","All","","","","","","Action","","","Passive","Target","","","","","Not Started","","Mountain Thane passive - NEEDS RESEARCH for specific mechanics."
"WAR_No_Stranger_to_Pain","No Stranger to Pain","","","","Passive","","Mountain-Thane,Hero-Talent,Defensive","","","","","Baseline","All","","","","","","Action","","","Passive","Target","","","","","Not Started","","Mountain Thane passive - Likely damage reduction or pain suppression."
"WAR_Death_Drive","Death Drive","","","","Passive","","Slayer,Hero-Talent,Execute-Phase","","","","","Hero Talent","Arms,Fury","","","","","","None","","","Passive","N/A","","","","","Not Started","","Slayer passive - Bonuses during execute/death phase."
"WAR_Flashing_Skies","Flashing Skies","","","","Passive","","Mountain-Thane,Hero-Talent,Lightning","","","","","Hero Talent","Protection,Fury","","","","","","None","","","Passive","N/A","","","","","Not Started","","Mountain Thane passive - Increases lightning effects frequency/damage."
"WAR_Thorim_s_Might","Thorims Might","","","","Passive","","Mountain-Thane,Hero-Talent,Power-Boost","","","","","Baseline","All","","","","","","Action","","","Passive","Target","","","","","Not Started","","Mountain Thane passive - Thorim's power, likely damage or strength boost."
"WAR_Burst_of_Power","Burst of Power","","","","Passive","","Mountain-Thane,Hero-Talent,Burst-Damage","","","","","Baseline","All","","","","","","Action","","","Passive","Target","","","","","Not Started","","Mountain Thane passive - Burst damage window or cooldown enhancement."
"WAR_Practiced_Strikes","Practiced Strikes","","","","Passive","","Slayer,Hero-Talent,Attack-Speed","","","","","Hero Talent","Arms,Protection","","","","","","None","","","Passive","N/A","","","","","Not Started","","Slayer passive - Increases attack frequency or reduces GCD."
"WAR_Precise_Might","Precise Might","","","","Passive","","Colossus,Hero-Talent,Critical","","","","","Baseline","All","","","","","","Action","","","Passive","Target","","","","","Not Started","","Colossus passive - Likely crit chance or crit damage boost."
"WAR_Mountain_of_Muscle_and_Scars","Mountain of Muscle and Scars","","","","Passive","","Mountain-Thane,Hero-Talent,Tank,HP-Boost","","","","","Baseline","All","","","","","","Action","","","Passive","Target","","","","","Not Started","","Mountain Thane passive - Likely HP increase or damage reduction for tanks."
"WAR_Show_No_Mercy","Show No Mercy","","","","Passive","","Slayer,Hero-Talent,Execute-Finisher","","","","","Hero Talent","Arms,Fury","","","","","","None","","","Passive","N/A","","","","","Not Started","","Slayer passive - Execute enhancements, no mercy mechanics."
"WAR_Avatar_of_the_Storm","Avatar of the Storm","","","","Passive","","Mountain-Thane,Hero-Talent,Avatar-Enhancement","","","","","Hero Talent","Protection,Fury","Avatar","","","","","None","","","Passive","N/A","","","","","Not Started","","Mountain Thane keystone - Enhances Avatar with storm/lightning effects."
"WAR_Dominance_of_the_Colossus","Dominance of the Colossus","","","","Passive","","Colossus,Hero-Talent,Keystone","","","","","Hero Talent","Arms,Protection","","","","","","None","","","Passive","N/A","","","","","Not Started","","Colossus keystone passive - Grants core Colossus mechanics."
"WAR_Unrelenting_Onslaught","Unrelenting Onslaught","","","","Passive","","Slayer,Hero-Talent,Aggressive-Playstyle","","","","","Hero Talent","Arms,Fury","","","","","","None","","","Passive","N/A","","","","","Not Started","","Slayer passive - Continuous assault bonuses."
